FIPSCode,LocationType,Location,TypeofFacility,TimeFrame,DataFormat,Data
06085,County,Santa Clara County,Family Child Care Home,2012,Number,"19,414"
06085,County,Santa Clara County,Total for Both Facility Types,2012,Number,"64,414"
06085,County,Santa Clara County,Child Care Center,2014,Number,"47,953"
06085,County,Santa Clara County,Family Child Care Home,2014,Number,"19,170"
06085,County,Santa Clara County,Total for Both Facility Types,2014,Number,"67,123"
06085,County,Santa Clara County,Child Care Center,2019,Number,"45,074"
06085,County,Santa Clara County,Family Child Care Home,2019,Number,"14,457"
06085,County,Santa Clara County,Total for Both Facility Types,2019,Number,"59,531"
06085,County,Santa Clara County,Child Care Center,2017,Number,"45,801"
06085,County,Santa Clara County,Family Child Care Home,2017,Number,"15,817"
06085,County,Santa Clara County,Total for Both Facility Types,2017,Number,"61,618"
06001,County,Alameda County,Child Care Center,2019,Number,"37,800"
06001,County,Alameda County,Family Child Care Home,2019,Number,"13,107"
06001,County,Alameda County,Total for Both Facility Types,2019,Number,"50,907"
06001,County,Alameda County,Child Care Center,2017,Number,"39,760"
06001,County,Alameda County,Family Child Care Home,2017,Number,"15,867"
06001,County,Alameda County,Total for Both Facility Types,2017,Number,"55,627"
06001,County,Alameda County,Child Care Center,2014,Number,"37,778"
06001,County,Alameda County,Family Child Care Home,2014,Number,"15,017"
06001,County,Alameda County,Total for Both Facility Types,2014,Number,"52,795"
06001,County,Alameda County,Child Care Center,2012,Number,"37,120"
06001,County,Alameda County,Family Child Care Home,2012,Number,"16,961"
06001,County,Alameda County,Total for Both Facility Types,2012,Number,"54,081"
06001,County,Alameda County,Child Care Center,2010,Number,"35,345"
06001,County,Alameda County,Family Child Care Home,2010,Number,"18,915"
06001,County,Alameda County,Total for Both Facility Types,2010,Number,"54,260"
06001,County,Alameda County,Child Care Center,2008,Number,"34,916"
06001,County,Alameda County,Family Child Care Home,2008,Number,"18,311"
06001,County,Alameda County,Total for Both Facility Types,2008,Number,"53,227"
06001,County,Alameda County,Child Care Center,2006,Number,"34,120"
06001,County,Alameda County,Family Child Care Home,2006,Number,"18,763"
06001,County,Alameda County,Total for Both Facility Types,2006,Number,"52,883"
06001,County,Alameda County,Child Care Center,2004,Number,"34,643"
06001,County,Alameda County,Family Child Care Home,2004,Number,"19,216"
06001,County,Alameda County,Total for Both Facility Types,2004,Number,"53,859"
06001,County,Alameda County,Child Care Center,2002,Number,"35,024"
06001,County,Alameda County,Family Child Care Home,2002,Number,"18,906"
06001,County,Alameda County,Total for Both Facility Types,2002,Number,"53,930"
06001,County,Alameda County,Child Care Center,2000,Number,"34,170"
06001,County,Alameda County,Family Child Care Home,2000,Number,"19,368"
06001,County,Alameda County,Total for Both Facility Types,2000,Number,"53,538"
06013,County,Contra Costa County,Child Care Center,2000,Number,"21,144"
06013,County,Contra Costa County,Family Child Care Home,2000,Number,"13,988"
06013,County,Contra Costa County,Total for Both Facility Types,2000,Number,"35,132"
06013,County,Contra Costa County,Child Care Center,2004,Number,"24,133"
06013,County,Contra Costa County,Family Child Care Home,2004,Number,"14,104"
06013,County,Contra Costa County,Total for Both Facility Types,2004,Number,"38,237"
06013,County,Contra Costa County,Child Care Center,2002,Number,"22,215"
06013,County,Contra Costa County,Family Child Care Home,2002,Number,"13,604"
06013,County,Contra Costa County,Total for Both Facility Types,2002,Number,"35,819"
06013,County,Contra Costa County,Child Care Center,2006,Number,"25,323"
06013,County,Contra Costa County,Family Child Care Home,2006,Number,"12,488"
06013,County,Contra Costa County,Total for Both Facility Types,2006,Number,"37,811"
06013,County,Contra Costa County,Child Care Center,2008,Number,"25,570"
06013,County,Contra Costa County,Family Child Care Home,2008,Number,"11,022"
06013,County,Contra Costa County,Total for Both Facility Types,2008,Number,"36,592"
06013,County,Contra Costa County,Child Care Center,2010,Number,"25,230"
06013,County,Contra Costa County,Family Child Care Home,2010,Number,"10,704"
06013,County,Contra Costa County,Total for Both Facility Types,2010,Number,"35,934"
06013,County,Contra Costa County,Child Care Center,2012,Number,"26,554"
06013,County,Contra Costa County,Family Child Care Home,2012,Number,"11,092"
06013,County,Contra Costa County,Total for Both Facility Types,2012,Number,"37,646"
06013,County,Contra Costa County,Child Care Center,2014,Number,"25,367"
06013,County,Contra Costa County,Family Child Care Home,2014,Number,"10,092"
06013,County,Contra Costa County,Total for Both Facility Types,2014,Number,"35,459"
06013,County,Contra Costa County,Child Care Center,2017,Number,"24,898"
06013,County,Contra Costa County,Family Child Care Home,2017,Number,"8,288"
06013,County,Contra Costa County,Total for Both Facility Types,2017,Number,"33,186"
06013,County,Contra Costa County,Child Care Center,2019,Number,"25,576"
06013,County,Contra Costa County,Family Child Care Home,2019,Number,"8,556"
06013,County,Contra Costa County,Total for Both Facility Types,2019,Number,"34,132"
06041,County,Marin County,Child Care Center,2019,Number,"8,796"
06041,County,Marin County,Family Child Care Home,2019,Number,"1,648"
06041,County,Marin County,Total for Both Facility Types,2019,Number,"10,444"
06041,County,Marin County,Child Care Center,2017,Number,"7,991"
06041,County,Marin County,Family Child Care Home,2017,Number,"1,966"
06041,County,Marin County,Total for Both Facility Types,2017,Number,"9,957"
06041,County,Marin County,Child Care Center,2014,Number,"8,842"
06041,County,Marin County,Family Child Care Home,2014,Number,"1,872"
06041,County,Marin County,Total for Both Facility Types,2014,Number,"10,714"
06041,County,Marin County,Child Care Center,2012,Number,"8,575"
06041,County,Marin County,Family Child Care Home,2012,Number,"1,902"
06041,County,Marin County,Total for Both Facility Types,2012,Number,"10,477"
06041,County,Marin County,Child Care Center,2010,Number,"7,977"
06041,County,Marin County,Family Child Care Home,2010,Number,"1,844"
06041,County,Marin County,Total for Both Facility Types,2010,Number,"9,821"
06041,County,Marin County,Child Care Center,2008,Number,"8,756"
06041,County,Marin County,Family Child Care Home,2008,Number,"1,834"
06041,County,Marin County,Total for Both Facility Types,2008,Number,"10,590"
06041,County,Marin County,Child Care Center,2006,Number,"8,108"
06041,County,Marin County,Family Child Care Home,2006,Number,"1,878"
06041,County,Marin County,Total for Both Facility Types,2006,Number,"9,986"
06041,County,Marin County,Child Care Center,2004,Number,"8,020"
06041,County,Marin County,Family Child Care Home,2004,Number,"1,960"
06041,County,Marin County,Total for Both Facility Types,2004,Number,"9,980"
06041,County,Marin County,Child Care Center,2002,Number,"7,672"
06041,County,Marin County,Family Child Care Home,2002,Number,"1,872"
06041,County,Marin County,Total for Both Facility Types,2002,Number,"9,544"
06041,County,Marin County,Child Care Center,2000,Number,"7,691"
06041,County,Marin County,Family Child Care Home,2000,Number,"1,962"
06041,County,Marin County,Total for Both Facility Types,2000,Number,"9,653"
06075,County,San Francisco County,Child Care Center,2000,Number,"14,873"
06075,County,San Francisco County,Family Child Care Home,2000,Number,"6,663"
06075,County,San Francisco County,Total for Both Facility Types,2000,Number,"21,536"
06075,County,San Francisco County,Child Care Center,2002,Number,"15,849"
06075,County,San Francisco County,Family Child Care Home,2002,Number,"4,870"
06075,County,San Francisco County,Total for Both Facility Types,2002,Number,"20,719"
06075,County,San Francisco County,Child Care Center,2004,Number,"16,786"
06075,County,San Francisco County,Family Child Care Home,2004,Number,"5,364"
06075,County,San Francisco County,Total for Both Facility Types,2004,Number,"22,150"
06075,County,San Francisco County,Child Care Center,2006,Number,"15,550"
06075,County,San Francisco County,Family Child Care Home,2006,Number,"6,131"
06075,County,San Francisco County,Total for Both Facility Types,2006,Number,"21,681"
06075,County,San Francisco County,Child Care Center,2008,Number,"17,894"
06075,County,San Francisco County,Family Child Care Home,2008,Number,"5,472"
06075,County,San Francisco County,Total for Both Facility Types,2008,Number,"23,366"
06075,County,San Francisco County,Child Care Center,2010,Number,"18,637"
06075,County,San Francisco County,Family Child Care Home,2010,Number,"6,178"
06075,County,San Francisco County,Total for Both Facility Types,2010,Number,"24,815"
06075,County,San Francisco County,Child Care Center,2012,Number,"18,868"
06075,County,San Francisco County,Family Child Care Home,2012,Number,"6,206"
06075,County,San Francisco County,Total for Both Facility Types,2012,Number,"25,074"
06075,County,San Francisco County,Child Care Center,2014,Number,"19,924"
06075,County,San Francisco County,Family Child Care Home,2014,Number,"6,476"
06075,County,San Francisco County,Total for Both Facility Types,2014,Number,"26,400"
06075,County,San Francisco County,Child Care Center,2017,Number,"22,615"
06075,County,San Francisco County,Family Child Care Home,2017,Number,"7,150"
06075,County,San Francisco County,Total for Both Facility Types,2017,Number,"29,765"
06075,County,San Francisco County,Child Care Center,2019,Number,"21,111"
06075,County,San Francisco County,Family Child Care Home,2019,Number,"6,970"
06075,County,San Francisco County,Total for Both Facility Types,2019,Number,"28,081"
06083,County,Santa Barbara County,Child Care Center,2019,Number,"6,821"
06083,County,Santa Barbara County,Family Child Care Home,2019,Number,"3,863"
06083,County,Santa Barbara County,Total for Both Facility Types,2019,Number,"10,684"
06083,County,Santa Barbara County,Child Care Center,2017,Number,"7,833"
06083,County,Santa Barbara County,Family Child Care Home,2017,Number,"3,909"
06083,County,Santa Barbara County,Total for Both Facility Types,2017,Number,"11,742"
06083,County,Santa Barbara County,Child Care Center,2014,Number,"9,118"
06083,County,Santa Barbara County,Family Child Care Home,2014,Number,"3,868"
06083,County,Santa Barbara County,Total for Both Facility Types,2014,Number,"12,986"
06083,County,Santa Barbara County,Child Care Center,2012,Number,"9,007"
06083,County,Santa Barbara County,Family Child Care Home,2012,Number,"4,672"
06083,County,Santa Barbara County,Total for Both Facility Types,2012,Number,"13,679"
06083,County,Santa Barbara County,Child Care Center,2010,Number,"8,942"
06083,County,Santa Barbara County,Family Child Care Home,2010,Number,"4,984"
06083,County,Santa Barbara County,Total for Both Facility Types,2010,Number,"13,926"
06083,County,Santa Barbara County,Child Care Center,2008,Number,"9,012"
06083,County,Santa Barbara County,Family Child Care Home,2008,Number,"4,510"
06083,County,Santa Barbara County,Total for Both Facility Types,2008,Number,"13,522"
06083,County,Santa Barbara County,Child Care Center,2006,Number,"8,075"
06083,County,Santa Barbara County,Family Child Care Home,2006,Number,"4,496"
06083,County,Santa Barbara County,Total for Both Facility Types,2006,Number,"12,571"
06083,County,Santa Barbara County,Child Care Center,2004,Number,"9,256"
06083,County,Santa Barbara County,Family Child Care Home,2004,Number,"4,522"
06083,County,Santa Barbara County,Total for Both Facility Types,2004,Number,"13,778"
06083,County,Santa Barbara County,Child Care Center,2002,Number,"8,432"
06083,County,Santa Barbara County,Family Child Care Home,2002,Number,"3,982"
06083,County,Santa Barbara County,Total for Both Facility Types,2002,Number,"12,414"
06083,County,Santa Barbara County,Child Care Center,2000,Number,"7,595"
06083,County,Santa Barbara County,Family Child Care Home,2000,Number,"3,994"
06083,County,Santa Barbara County,Total for Both Facility Types,2000,Number,"11,589"
06053,County,Monterey County,Child Care Center,2000,Number,"5,444"
06053,County,Monterey County,Family Child Care Home,2000,Number,"5,324"
06053,County,Monterey County,Total for Both Facility Types,2000,Number,"10,768"
06053,County,Monterey County,Child Care Center,2002,Number,"5,730"
06053,County,Monterey County,Family Child Care Home,2002,Number,"5,188"
06053,County,Monterey County,Total for Both Facility Types,2002,Number,"10,918"
06053,County,Monterey County,Child Care Center,2004,Number,"6,032"
06053,County,Monterey County,Family Child Care Home,2004,Number,"4,920"
06053,County,Monterey County,Total for Both Facility Types,2004,Number,"10,952"
06053,County,Monterey County,Child Care Center,2006,Number,"5,927"
06053,County,Monterey County,Family Child Care Home,2006,Number,"4,939"
06053,County,Monterey County,Total for Both Facility Types,2006,Number,"10,866"
06053,County,Monterey County,Child Care Center,2008,Number,"5,790"
06053,County,Monterey County,Family Child Care Home,2008,Number,"5,192"
06053,County,Monterey County,Total for Both Facility Types,2008,Number,"10,982"
06053,County,Monterey County,Child Care Center,2010,Number,"5,499"
06053,County,Monterey County,Family Child Care Home,2010,Number,"5,004"
06053,County,Monterey County,Total for Both Facility Types,2010,Number,"10,503"
06053,County,Monterey County,Child Care Center,2012,Number,"5,585"
06053,County,Monterey County,Family Child Care Home,2012,Number,"4,412"
06053,County,Monterey County,Total for Both Facility Types,2012,Number,"9,997"
06053,County,Monterey County,Child Care Center,2014,Number,"6,266"
06053,County,Monterey County,Family Child Care Home,2014,Number,"4,266"
06053,County,Monterey County,Total for Both Facility Types,2014,Number,"10,532"
06053,County,Monterey County,Child Care Center,2017,Number,"5,879"
06053,County,Monterey County,Family Child Care Home,2017,Number,"3,808"
06053,County,Monterey County,Total for Both Facility Types,2017,Number,"9,687"
06053,County,Monterey County,Child Care Center,2019,Number,"6,427"
06053,County,Monterey County,Family Child Care Home,2019,Number,"3,692"
06053,County,Monterey County,Total for Both Facility Types,2019,Number,"10,119"
06015,County,Del Norte County,Child Care Center,2019,Number,309
06015,County,Del Norte County,Family Child Care Home,2019,Number,360
06015,County,Del Norte County,Total for Both Facility Types,2019,Number,669
06015,County,Del Norte County,Child Care Center,2017,Number,335
06015,County,Del Norte County,Family Child Care Home,2017,Number,328
06015,County,Del Norte County,Total for Both Facility Types,2017,Number,663
06015,County,Del Norte County,Child Care Center,2014,Number,425
06015,County,Del Norte County,Family Child Care Home,2014,Number,514
06015,County,Del Norte County,Total for Both Facility Types,2014,Number,939
06015,County,Del Norte County,Child Care Center,2012,Number,392
06015,County,Del Norte County,Family Child Care Home,2012,Number,390
06015,County,Del Norte County,Total for Both Facility Types,2012,Number,782
06015,County,Del Norte County,Child Care Center,2010,Number,416
06015,County,Del Norte County,Family Child Care Home,2010,Number,452
06015,County,Del Norte County,Total for Both Facility Types,2010,Number,868
06015,County,Del Norte County,Child Care Center,2008,Number,416
06015,County,Del Norte County,Family Child Care Home,2008,Number,446
06015,County,Del Norte County,Total for Both Facility Types,2008,Number,862
06015,County,Del Norte County,Child Care Center,2006,Number,538
06015,County,Del Norte County,Family Child Care Home,2006,Number,396
06015,County,Del Norte County,Total for Both Facility Types,2006,Number,934
06015,County,Del Norte County,Child Care Center,2002,Number,336
06015,County,Del Norte County,Family Child Care Home,2002,Number,430
06015,County,Del Norte County,Total for Both Facility Types,2002,Number,766
06015,County,Del Norte County,Child Care Center,2004,Number,562
06015,County,Del Norte County,Family Child Care Home,2004,Number,440
06015,County,Del Norte County,Total for Both Facility Types,2004,Number,"1,002"
06015,County,Del Norte County,Child Care Center,2000,Number,315
06015,County,Del Norte County,Family Child Care Home,2000,Number,456
06015,County,Del Norte County,Total for Both Facility Types,2000,Number,771
06093,County,Siskiyou County,Child Care Center,2000,Number,633
06093,County,Siskiyou County,Family Child Care Home,2000,Number,466
06093,County,Siskiyou County,Total for Both Facility Types,2000,Number,"1,099"
06093,County,Siskiyou County,Child Care Center,2002,Number,609
06093,County,Siskiyou County,Family Child Care Home,2002,Number,626
06093,County,Siskiyou County,Total for Both Facility Types,2002,Number,"1,235"
06093,County,Siskiyou County,Child Care Center,2004,Number,772
06093,County,Siskiyou County,Family Child Care Home,2004,Number,616
06093,County,Siskiyou County,Total for Both Facility Types,2004,Number,"1,388"
06093,County,Siskiyou County,Child Care Center,2006,Number,736
06093,County,Siskiyou County,Family Child Care Home,2006,Number,376
06093,County,Siskiyou County,Total for Both Facility Types,2006,Number,"1,112"
06093,County,Siskiyou County,Child Care Center,2008,Number,736
06093,County,Siskiyou County,Family Child Care Home,2008,Number,312
06093,County,Siskiyou County,Total for Both Facility Types,2008,Number,"1,048"
06093,County,Siskiyou County,Child Care Center,2010,Number,729
06093,County,Siskiyou County,Family Child Care Home,2010,Number,248
06093,County,Siskiyou County,Total for Both Facility Types,2010,Number,977
06093,County,Siskiyou County,Child Care Center,2012,Number,667
06093,County,Siskiyou County,Family Child Care Home,2012,Number,226
06093,County,Siskiyou County,Total for Both Facility Types,2012,Number,893
06093,County,Siskiyou County,Child Care Center,2014,Number,751
06093,County,Siskiyou County,Family Child Care Home,2014,Number,250
06093,County,Siskiyou County,Total for Both Facility Types,2014,Number,"1,001"
06093,County,Siskiyou County,Child Care Center,2017,Number,698
06093,County,Siskiyou County,Family Child Care Home,2017,Number,286
06093,County,Siskiyou County,Total for Both Facility Types,2017,Number,984
06093,County,Siskiyou County,Child Care Center,2019,Number,652
06093,County,Siskiyou County,Family Child Care Home,2019,Number,248
06093,County,Siskiyou County,Total for Both Facility Types,2019,Number,900
06049,County,Modoc County,Child Care Center,2019,Number,275
06049,County,Modoc County,Family Child Care Home,2019,Number,172
06049,County,Modoc County,Total for Both Facility Types,2019,Number,447
06049,County,Modoc County,Child Care Center,2017,Number,319
06049,County,Modoc County,Family Child Care Home,2017,Number,140
06049,County,Modoc County,Total for Both Facility Types,2017,Number,459
06049,County,Modoc County,Child Care Center,2012,Number,285
06049,County,Modoc County,Family Child Care Home,2012,Number,200
06049,County,Modoc County,Total for Both Facility Types,2012,Number,485
06049,County,Modoc County,Child Care Center,2014,Number,434
06049,County,Modoc County,Family Child Care Home,2014,Number,162
06049,County,Modoc County,Total for Both Facility Types,2014,Number,596
06049,County,Modoc County,Child Care Center,2010,Number,236
06049,County,Modoc County,Family Child Care Home,2010,Number,162
06049,County,Modoc County,Total for Both Facility Types,2010,Number,398
06049,County,Modoc County,Child Care Center,2008,Number,175
06049,County,Modoc County,Family Child Care Home,2008,Number,186
06049,County,Modoc County,Total for Both Facility Types,2008,Number,361
06049,County,Modoc County,Child Care Center,2006,Number,239
06049,County,Modoc County,Family Child Care Home,2006,Number,194
06049,County,Modoc County,Total for Both Facility Types,2006,Number,433
06049,County,Modoc County,Child Care Center,2004,Number,234
06049,County,Modoc County,Family Child Care Home,2004,Number,164
06049,County,Modoc County,Total for Both Facility Types,2004,Number,398
06049,County,Modoc County,Child Care Center,2002,Number,213
06049,County,Modoc County,Family Child Care Home,2002,Number,202
06049,County,Modoc County,Total for Both Facility Types,2002,Number,415
06049,County,Modoc County,Child Care Center,2000,Number,182
06049,County,Modoc County,Family Child Care Home,2000,Number,204
06049,County,Modoc County,Total for Both Facility Types,2000,Number,386
06023,County,Humboldt County,Child Care Center,2000,Number,"2,410"
06023,County,Humboldt County,Family Child Care Home,2000,Number,"2,014"
06023,County,Humboldt County,Total for Both Facility Types,2000,Number,"4,424"
06023,County,Humboldt County,Child Care Center,2002,Number,"2,024"
06023,County,Humboldt County,Family Child Care Home,2002,Number,"1,554"
06023,County,Humboldt County,Total for Both Facility Types,2002,Number,"3,578"
06023,County,Humboldt County,Child Care Center,2004,Number,"1,651"
06023,County,Humboldt County,Family Child Care Home,2004,Number,"1,618"
06023,County,Humboldt County,Total for Both Facility Types,2004,Number,"3,269"
06023,County,Humboldt County,Child Care Center,2006,Number,"1,685"
06023,County,Humboldt County,Family Child Care Home,2006,Number,"1,504"
06023,County,Humboldt County,Total for Both Facility Types,2006,Number,"3,189"
06023,County,Humboldt County,Child Care Center,2008,Number,"1,736"
06023,County,Humboldt County,Family Child Care Home,2008,Number,"1,736"
06023,County,Humboldt County,Total for Both Facility Types,2008,Number,"3,472"
06023,County,Humboldt County,Child Care Center,2010,Number,"1,827"
06023,County,Humboldt County,Family Child Care Home,2010,Number,"1,574"
06023,County,Humboldt County,Total for Both Facility Types,2010,Number,"3,401"
06023,County,Humboldt County,Child Care Center,2012,Number,"1,762"
06023,County,Humboldt County,Family Child Care Home,2012,Number,"1,472"
06023,County,Humboldt County,Total for Both Facility Types,2012,Number,"3,234"
06023,County,Humboldt County,Child Care Center,2014,Number,"1,831"
06023,County,Humboldt County,Family Child Care Home,2014,Number,"1,326"
06023,County,Humboldt County,Total for Both Facility Types,2014,Number,"3,157"
06023,County,Humboldt County,Child Care Center,2017,Number,"1,766"
06023,County,Humboldt County,Family Child Care Home,2017,Number,"1,222"
06023,County,Humboldt County,Total for Both Facility Types,2017,Number,"2,988"
06023,County,Humboldt County,Child Care Center,2019,Number,"1,845"
06023,County,Humboldt County,Family Child Care Home,2019,Number,"1,094"
06023,County,Humboldt County,Total for Both Facility Types,2019,Number,"2,939"
06105,County,Trinity County,Child Care Center,2017,Number,63
06105,County,Trinity County,Family Child Care Home,2017,Number,110
06105,County,Trinity County,Total for Both Facility Types,2017,Number,173
06105,County,Trinity County,Child Care Center,2019,Number,115
06105,County,Trinity County,Family Child Care Home,2019,Number,104
06105,County,Trinity County,Total for Both Facility Types,2019,Number,219
06105,County,Trinity County,Child Care Center,2014,Number,113
06105,County,Trinity County,Family Child Care Home,2014,Number,164
06105,County,Trinity County,Total for Both Facility Types,2014,Number,277
06105,County,Trinity County,Child Care Center,2012,Number,129
06105,County,Trinity County,Family Child Care Home,2012,Number,204
06105,County,Trinity County,Total for Both Facility Types,2012,Number,333
06105,County,Trinity County,Child Care Center,2010,Number,137
06105,County,Trinity County,Family Child Care Home,2010,Number,192
06105,County,Trinity County,Total for Both Facility Types,2010,Number,329
06105,County,Trinity County,Child Care Center,2008,Number,144
06105,County,Trinity County,Family Child Care Home,2008,Number,224
06105,County,Trinity County,Total for Both Facility Types,2008,Number,368
06105,County,Trinity County,Child Care Center,2006,Number,129
06105,County,Trinity County,Family Child Care Home,2006,Number,220
06105,County,Trinity County,Total for Both Facility Types,2006,Number,349
06105,County,Trinity County,Child Care Center,2004,Number,129
06105,County,Trinity County,Family Child Care Home,2004,Number,198
06105,County,Trinity County,Total for Both Facility Types,2004,Number,327
06105,County,Trinity County,Child Care Center,2002,Number,144
06105,County,Trinity County,Family Child Care Home,2002,Number,186
06105,County,Trinity County,Total for Both Facility Types,2002,Number,330
06105,County,Trinity County,Child Care Center,2000,Number,144
06105,County,Trinity County,Family Child Care Home,2000,Number,214
06105,County,Trinity County,Total for Both Facility Types,2000,Number,358
06089,County,Shasta County,Child Care Center,2000,Number,"2,907"
06089,County,Shasta County,Family Child Care Home,2000,Number,"1,332"
06089,County,Shasta County,Total for Both Facility Types,2000,Number,"4,239"
06089,County,Shasta County,Child Care Center,2002,Number,"3,038"
06089,County,Shasta County,Family Child Care Home,2002,Number,"1,838"
06089,County,Shasta County,Total for Both Facility Types,2002,Number,"4,876"
06089,County,Shasta County,Child Care Center,2004,Number,"3,531"
06089,County,Shasta County,Family Child Care Home,2004,Number,"1,982"
06089,County,Shasta County,Total for Both Facility Types,2004,Number,"5,513"
06089,County,Shasta County,Child Care Center,2006,Number,"3,604"
06089,County,Shasta County,Family Child Care Home,2006,Number,"1,918"
06089,County,Shasta County,Total for Both Facility Types,2006,Number,"5,522"
06089,County,Shasta County,Child Care Center,2008,Number,"3,563"
06089,County,Shasta County,Family Child Care Home,2008,Number,"2,138"
06089,County,Shasta County,Total for Both Facility Types,2008,Number,"5,701"
06089,County,Shasta County,Child Care Center,2010,Number,"3,306"
06089,County,Shasta County,Family Child Care Home,2010,Number,"1,998"
06089,County,Shasta County,Total for Both Facility Types,2010,Number,"5,304"
06089,County,Shasta County,Child Care Center,2012,Number,"2,932"
06089,County,Shasta County,Family Child Care Home,2012,Number,"1,594"
06089,County,Shasta County,Total for Both Facility Types,2012,Number,"4,526"
06089,County,Shasta County,Child Care Center,2014,Number,"2,921"
